filename,width,height,class,xmin,ymin,xmax,ymax
24_jpeg.rf.d41f11fea67f6d3903f283695e8ec8da.jpg,500,750,wrinkle,258,280,271,319
24_jpeg.rf.d41f11fea67f6d3903f283695e8ec8da.jpg,500,750,wrinkle,291,270,297,300
24_jpeg.rf.d41f11fea67f6d3903f283695e8ec8da.jpg,500,750,wrinkle,272,264,293,313
24_jpeg.rf.d41f11fea67f6d3903f283695e8ec8da.jpg,500,750,wrinkle,229,267,263,280
24_jpeg.rf.d41f11fea67f6d3903f283695e8ec8da.jpg,500,750,wrinkle,309,445,335,459
24_jpeg.rf.d41f11fea67f6d3903f283695e8ec8da.jpg,500,750,wrinkle,300,451,322,482
fla-8-_jpg.rf.d510909b22c46ac6b224d222d899cdd5.jpg,322,288,3,10,89,160,195
fla-8-_jpg.rf.d510909b22c46ac6b224d222d899cdd5.jpg,322,288,3,162,48,308,267
fla-8-_jpg.rf.d510909b22c46ac6b224d222d899cdd5.jpg,322,288,3,49,8,130,73
fla-8-_jpg.rf.d510909b22c46ac6b224d222d899cdd5.jpg,322,288,3,7,241,61,288
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,blackheads,224,99,238,116
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,whiteheads,60,113,73,125
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,whiteheads,43,134,56,146
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,whiteheads,67,154,77,168
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,papules,68,215,89,232
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,papules,68,231,86,252
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,blackheads,229,348,248,364
levle1_472_jpg.rf.d1383832f40cc8892b5bae38ef3c19ef.jpg,374,416,whiteheads,212,364,229,380
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,acne scar,230,75,249,101
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,acne scar,216,80,235,98
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,274,82,301,105
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,186,103,213,122
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,187,124,206,139
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,162,122,187,142
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,117,136,131,147
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,138,139,157,154
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,acne scar,221,152,244,169
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,papules,129,153,146,169
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,acne scar,132,167,152,185
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,pustules,218,169,245,195
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,acne scar,198,178,216,194
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,acne scar,49,178,74,203
ac1_jpg.rf.d350609b2c3e097fff5548b4a7f81868.jpg,416,277,pustules,86,10,108,28
